from,to
Project_Planning,methodological_flowchart
Project_Planning,mind_mapping
Project_Planning,literature_review
Project_Planning,data_sources
Project_Planning,data_collection
Spatial_Analysis_GIS,Quantum_GIS
Spatial_Analysis_GIS,UTM
Spatial_Analysis_GIS,coordinate_flipping
Spatial_Analysis_GIS,re-projecting
Spatial_Analysis_GIS,mapping
Spatial_Analysis_GIS,visualization
Spatial_Analysis_GIS,spatial_analysis
Data_Distribution,histograms
Data_Distribution,facetted_wrap
Data_Distribution,spacial_series_plots
Data_Distribution,quantiles
Data_Distribution,violin_plot
Data_Distribution,ECDF
Data_Distribution,density_curves
Data_Distribution,mean_values
Data_Distribution,minimal_values
Data_Distribution,median_values
Data_Distribution,maximal_values
Data_Distribution,regression_analysis
Data_Distribution,loess
Data_Distribution,generalized
Data_Distribution,histograms
Data_Distribution,notched_histograms
Data_Distribution,finding
Data_Distribution,ridgeline
Data_Distribution,animation
Data_Distribution,3D
Correlation_Analysis,scatter_plot
Correlation_Analysis,correlation_ellipses
Correlation_Analysis,numerical_correlogram
Correlation_Analysis,correlation_analysis
Correlation_Analysis,linear_plot
Correlation_Analysis,association_plot
Correlation_Analysis,outliers
Correlation_Analysis,highlighted_groups
Correlation_Analysis,overlapping_points
Correlation_Analysis,strip_plot_by_groups
Correlation_Analysis,dot_plot
Correlation_Analysis,Double-Y-axis
Correlation_Analysis,k-means_clustering
Correlation_Analysis,Silhouette_plot
Grouping_Rankings,hexagonial_plot
Grouping_Rankings,radar_chart
Grouping_Rankings,mosaic_plot
Grouping_Rankings,levelplot
Compositional_Analysis,categorywise_bar_chart
Compositional_Analysis,diverging_bars
Compositional_Analysis,ternary_diagram
Compositional_Analysis,barplot
Data_Partition,dendrogram_tree
Data_Partition,lollipop_stem_plot
Data_Partition,circular_barplot
Logical_Analysis,hierarchical_edge_bundling
Logical_Analysis,network
Logical_Analysis,logical_connections
Logical_Analysis,leaves
Logical_Analysis,edges
Logical_Analysis,nodes
Logical_Analysis,Euler-Venn_diagram
Flows,Sankey_diagram
Flows,flowchart
Modeling,exploratoty_factor_analysis_(EFA)
Modeling,principal_component_analysis_(PCA)
Modeling,cumulative_proportion
Modeling,oblique_rotation
Modeling,visualizing_eigenvectors
Modeling,factor_loadings
Modeling,factor_solutions
Modeling,factors_correlation
Modeling,residuals
Modeling,scores
Modeling,cumulative_variance
Modeling,mean_item_complexity
Modeling,harmonic_number_of_observations
Modeling,Chi-square
Modeling,degree_of_freedom
Modeling,Parallel_Analysis
Hypothesis_testing,ANOVA
Hypothesis_testing,T-test
Hypothesis_testing,hypothesis_testing
Hypothesis_testing,confidence_level-of_results
Hypothesis_testing,homogeneity_of_variances
Hypothesis_testing,significance_level
Hypothesis_testing,P-value
Hypothesis_testing,Kruskal_Wallis_rank_sum_test
Hypothesis_testing,one_way_test
Hypothesis_testing,iCLUST
Hypothesis_testing,principal_axis_factoring
Hypothesis_testing,Shapiro-Wilk_normality_test
Hypothesis_testing,Residuals_vs_Fitted
Hypothesis_testing,Levene_test
Hypothesis_testing,family-wise_confidence_level
Visual_Effects,wordcould
Visual_Effects,animation
